id,product_name,product_price,product_category,product_subcategory,color,launch_date,is_active
1,Fashionable Fanny Pack,24.99,Clothing - Accessories,Bags,Goldenrod,5/6/2025,true
2,Teriyaki Chicken Skewers,8.99,Food - Meat,Marinated Meats,Crimson,12/26/2024,false
3,Non-Toxic Concrete Sealer,39.99,Home Improvement,Exterior Sealers,Maroon,10/21/2024,false
4,Weighted Jump Rope with Counter,14.99,Fitness,Cardio Equipment,Blue,11/14/2024,true
5,Himalayan Pink Salt,1.99,Food - Condiments,Specialty Salts,Khaki,9/19/2024,true
6,Chili Lime Corn Chips,2.79,Food - Snacks,Savory Snacks,Mauv,12/13/2024,true
7,Dried Mango Slices,3.49,Food - Snacks,Dried Fruits,Goldenrod,11/6/2024,false
8,Sour Cream,3.49,Food - Dairy,Dairy Spreads,Purple,7/5/2024,true
9,Arcade Game Machine,299.99,Gaming,Arcade Machines & Cabinets,Goldenrod,8/9/2024,true
10,Diced Tomatoes (canned),1.49,Food - Canned Goods,Canned Vegetables,Crimson,3/17/2025,false
11,Sweet Potato Chips,2.99,Food - Snacks,Savory Snacks,Crimson,9/12/2024,true
12,Peanut Butter Chocolate Clusters,2.99,Food - Desserts,Chocolate Desserts,Maroon,2/19/2025,false
13,Knitted Infinity Scarf,29.99,Clothing - Accessories,Scarves,Teal,7/31/2024,true
14,Kids' STEM Robotics Kit,59.99,Toys,Educational Toys,Orange,9/13/2024,true
15,Fleece Hoodie,39.99,Clothing - Outerwear,Hoodies,Fuscia,5/16/2025,false
16,Stainless Steel Grater,14.99,Kitchen,Kitchen Gadgets,Khaki,4/4/2025,false
17,Outdoor Folding Table,39.99,Outdoor,Outdoor Furniture,Turquoise,1/31/2025,true
18,Winter Knit Beanie,14.99,Clothing,Hats & Headwear,Red,7/27/2024,true
19,Karaoke Microphone,39.99,Music,Audio Equipment,Violet,8/11/2024,false
20,Kids' Gardening Tools Set,22.99,Toys,Outdoor Play Toys,Violet,8/23/2024,true
21,Cotton Quilted Throw Blanket,39.99,Home,Bedding & Linens,Mauv,12/28/2024,false
22,Mini Air Hockey Table,39.99,Toys,Miniature Sports Games,Orange,5/19/2025,false
23,Silicone Cooking Utensils Set,34.99,Kitchen,Cooking Tools & Utensils,Red,12/29/2024,false
24,Garden Hose Reel,49.99,Garden,Garden Tools,Red,11/28/2024,false
25,Car Sunshade,19.99,Automotive,Automotive Accessories,Turquoise,5/12/2025,false
26,Multi-Layer Food Steamer,39.99,Kitchen,Cooking Appliances,Orange,7/11/2024,false
27,Compact Shoe Rack,34.99,Home,Home Furnishings,Green,11/17/2024,true
28,Electric Wax Warmer,22.99,Home,Home Fragrance & Accessories,Blue,9/3/2024,true
29,Chocolate Mint Protein Shake,3.99,Food - Beverages,Health Drinks,Pink,8/25/2024,true
30,Roasted Garlic Pasta Sauce,4.99,Food - Sauces,Pasta Sauces,Crimson,10/15/2024,false
31,Pet Water Fountain with Filtration,39.99,Pets,Pet Supplies,Green,12/1/2024,false
32,Kids' Craft Supplies Set,24.99,Toys,Creative Arts & Crafts,Crimson,6/9/2025,false
33,Wall-Mounted Wine Rack,39.99,Home,Wine Storage Solutions,Turquoise,2/1/2025,true
